n_killed,latitude,longitude
1,35.9527,-81.5388
1,39.3393,-76.6625
0,39.1322,-75.5224
1,44.313,-71.8331
0,38.0222,-121.289
0,32.4524,-84.9225
0,40.5611,-74.5411
0,42.9819,-71.4482
0,37.0101,-76.3724
0,39.4245,-75.2413
1,38.4662,-121.433
0,36.0112,-78.8973
1,39.2723,-80.325
1,33.7701,-118.194
2,44.1817,-92.7599
0,36.4525,-77.6764
0,40.6014,-75.4862
0,28.5311,-81.3766
0,33.7345,-117.868
0,32.39,-80.6858
0,42.3622,-71.0578
0,26.0086,-80.2561
0,32.4638,-84.9701
0,37.0951,-113.586
0,26.2318,-80.1133
0,29.9663,-90.0844
0,30.0187,-89.9781
0,34.735,-86.6332
0,39.783,-86.1796
1,27.3588,-82.5425
0,37.0103,-76.3536
1,39.9064,-86.0385
0,42.5922,-75.5303
0,35.1905,-89.8919
0,32.5322,-93.7199
0,27.3522,-82.5303
1,36.4462,-77.2228
0,48.2072,-114.305
0,26.0972,-80.2101
0,33.7574,-78.8044
0,37.0387,-76.456
1,43.7796,-88.4288
0,33.6896,-78.8905
0,41.4745,-91.0002
0,42.9184,-112.611
0,36.153,-95.5204
0,35.6963,-88.8602
0,38.851,-76.9773
0,38.7497,-90.3721
0,38.9193,-76.9863
2,41.7845,-99.1323
1,33.9277,-118.246
0,39.8157,-75.5495
0,36.7652,-119.745
2,38.9186,-77.557
0,36.8802,-80.0085
0,32.8918,-80.0133
0,33.6899,-78.8908
0,35.0262,-80.9058
1,40.0491,-75.1749
0,37.3918,-79.13
1,37.4427,-85.2985
0,39.7213,-121.847
0,38.8729,-76.979
0,40.0503,-76.3036
0,29.7604,-95.3698
0,39.7702,-121.85
0,43.3062,-70.9721
1,44.7977,-109.081
0,35.8333,-78.6239
0,36.4811,-82.4079
0,35.2612,-77.5679
0,35.0608,-89.8492
0,42.3178,-71.0819
0,29.9238,-90.0925
0,40.8321,-73.1054
0,29.9596,-90.1215
1,32.8481,-96.8512
1,34.9936,-106.121
0,39.9569,-82.9253
0,31.4314,-97.7402
1,45.9729,-120.354
0,32.3543,-88.7223
0,45.9719,-120.354
0,35.2268,-89.9712
1,34.8114,-77.7811
1,39.1065,-94.5137
0,42.5142,-92.3327
1,38.6749,-90.2006
0,27.9167,-82.8
0,34.1462,-118.232
0,38.3285,-81.6025
0,28.3076,-81.4642
0,30.6812,-88.0541
0,40.8006,-72.8713
0,39.7385,-121.875
0,39.2195,-76.6084
0,39.808,-75.501
0,41.6363,-83.5891
0,30.0179,-90.0095
0,34.021,-80.9741
0,27.9835,-82.5371
0,46.8425,-96.8258
0,41.2374,-95.9387
0,40.9564,-124.113
0,27.8003,-97.4303
1,61.2278,-149.807
1,40.0491,-75.175
1,42.2055,-86.3175
0,42.1976,-83.2676
0,35.206,-101.841
2,39.6977,-86.1382
0,36.0549,-79.7642
0,48.1491,-103.613
0,32.7947,-83.6711
0,35.0262,-80.9058
0,32.7765,-79.9311
0,29.9874,-90.1628
0,37.7461,-122.156
0,42.3606,-71.1457
0,44.5497,-123.265
0,33.9309,-118.355
0,27.958,-82.5362
0,37.7238,-77.4479
1,43.059,-76.1454
0,40.0639,-83.0746
0,39.7447,-75.5666
0,40.8111,-73.1118
0,32.8217,-80.0363
0,27.4445,-82.4662
1,33.5891,-112.16
0,34.1038,-118.177
0,32.9466,-117.092
0,38.1854,-84.8756
0,42.2533,-89.0858
0,33.6064,-84.436
1,28.817,-81.8328
0,34.8003,-86.9746
0,34.6563,-92.3585
0,43.5404,-71.4843
0,41.2622,-75.8879
0,39.3015,-76.6718
0,32.5395,-84.9629
0,39.2911,-76.6301
0,39.7561,-75.5605
1,39.1412,-84.4969
0,32.7805,-83.8256
0,39.2953,-76.6507
1,28.817,-81.8328
0,39.2953,-76.6507
0,43.0081,-89.2864
0,40.7931,-124.158
0,39.0515,-94.5484
0,38.9034,-77.0619
0,39.8117,-104.769
0,32.6994,-114.645
0,30.1974,-97.6663
0,35.0668,-79.0127
0,28.4562,-81.3113
0,29.9963,-90.0609
0,29.9694,-90.0618
0,39.9408,-75.2215
1,40.3923,-79.9
0,33.3205,-82.0843
0,36.7459,-119.135
0,40.2599,-74.2752
0,39.7796,-86.1155
1,47.8918,-97.0551
0,34.1974,-118.602
1,33.6218,-85.8404
0,38.8876,-76.9515
0,31.1054,-97.9133
0,33.7231,-84.8792
0,34.0535,-118.225
0,40.024,-83.7777
0,32.8748,-97.0145
0,34.9642,-78.9442
1,39.3676,-74.4268
1,41.7643,-87.5836
0,37.8924,-89.0595
0,43.1522,-78.668
2,28.9449,-95.3543
0,42.89,-78.8817
1,33.7682,-84.4135
1,34.991,-99.2507
0,38.8562,-76.987
0,38.9667,-77.0338
0,38.1995,-85.765
0,39.7757,-104.771
0,41.6908,-73.8832
0,39.6296,-75.666
0,34.1349,-116.344
0,39.6801,-83.9223
0,26.2111,-80.1231
0,27.7753,-82.6384
0,41.3807,-83.6541
0,39.1297,-84.4822
0,34.2561,-78.0042
0,35.8322,-88.9312
0,39.1361,-84.4682
0,40.8182,-73.9605
1,40.8139,-73.9448
0,42.0999,-72.5896
0,31.3182,-95.4566
0,38.9137,-77.0082
0,27.795,-97.3989
0,37.5023,-122.273
0,42.578,-71.7906
0,37.6936,-97.3196
0,38.8165,-104.771
0,41.7572,-87.5627
0,39.9975,-82.8889
1,38.6204,-90.2195
0,38.0857,-102.621
0,35.8201,-88.9217
0,44.808,-68.8167
0,42.9264,-88.8436
0,45.5451,-122.537
0,35.2275,-90.0135
0,35.0612,-90.0162
0,39.9526,-75.1652
0,35.7005,-96.8779
0,41.4969,-81.6692
0,39.3265,-76.6585
0,42.2539,-78.7938
0,36.7141,-119.787
1,39.757,-84.1474
0,39.0892,-84.5994
0,34.7232,-92.2959
0,29.7604,-95.3698
0,42.1875,-112.243
0,46.8772,-96.7898
1,36.0045,-83.8993
0,35.0935,-79.0109
0,30.531,-92.0752
0,33.6582,-101.824
1,41.7773,-87.6864
0,40.803,-74.2132
0,39.7611,-84.2084
1,33.7278,-84.3806
0,39.9805,-75.2264
1,40.6997,-73.8079
1,32.7688,-94.3628
0,34.9819,-81.1016
0,30.4365,-91.0842
0,40.0474,-75.1611
0,32.8206,-97.2313
1,32.7878,-96.7999
0,33.4012,-91.0379
1,33.6218,-85.8404
0,37.3515,-95.2755
1,39.3217,-76.5508
0,39.0214,-82.2336
0,33.855,-117.539
0,39.0914,-94.5123
0,37.7547,-122.426
0,37.4804,-77.4811
0,36.0437,-89.3706
0,30.7259,-88.0945
0,41.2542,-75.9405
0,36.7477,-119.782
0,40.2388,-74.8078
0,41.8954,-87.7212
0,39.6994,-104.818
0,39.9547,-74.9459
0,35.6045,-88.8853
1,40.4059,-79.912
0,36.2083,-86.8366
0,40.2057,-74.7483
0,41.5634,-90.5975
0,40.7289,-74.1906
1,35.975,-87.1297
0,35.0415,-85.2604
0,27.8998,-97.1481
0,42.7186,-88.9715
1,34.0625,-118.123
1,41.426,-81.565
0,39.0298,-95.6512
0,34.6611,-92.3545
0,34.1589,-118.522
0,34.1233,-117.889
0,42.7492,-71.4639
0,42.9756,-78.7914
0,31.7351,-93.0922
0,41.5283,-92.0839
0,32.8035,-96.6233
0,35.069,-85.2654
0,30.0138,-90.0182
1,42.0045,-93.628
0,27.9835,-82.5371
0,30.3003,-90.6753
0,39.294,-76.62
0,41.5626,-90.6129
0,41.8049,-72.6953
0,30.8629,-90.1295
