,n_killed,latitude,longitude,output
241,2,40.4107,-79.993,"{ lat: 40.4107, lng: -79.993, count: 2 }"
242,2,39.8201,-105.118,"{ lat: 39.8201, lng: -105.118, count: 2 }"
243,2,38.3751,-82.2779,"{ lat: 38.3751, lng: -82.2779, count: 2 }"
244,2,42.5178,-96.4199,"{ lat: 42.5178, lng: -96.4199, count: 2 }"
245,2,38.573,-90.2415,"{ lat: 38.573, lng: -90.2415, count: 2 }"
246,2,38.573,-90.2415,"{ lat: 38.573, lng: -90.2415, count: 2 }"
247,2,42.266999999999996,-71.0989,"{ lat: 42.266999999999996, lng: -71.0989, count: 2 }"
248,2,29.8899,-90.0176,"{ lat: 29.8899, lng: -90.0176, count: 2 }"
249,2,43.4351,-123.561,"{ lat: 43.4351, lng: -123.561, count: 2 }"
250,2,29.8922,-90.0158,"{ lat: 29.8922, lng: -90.0158, count: 2 }"
251,2,35.1704,-89.8141,"{ lat: 35.1704, lng: -89.8141, count: 2 }"
252,2,31.5901,-94.6139,"{ lat: 31.5901, lng: -94.6139, count: 2 }"
253,2,41.8791,-80.8157,"{ lat: 41.8791, lng: -80.8157, count: 2 }"
254,2,39.1548,-76.5971,"{ lat: 39.1548, lng: -76.5971, count: 2 }"
255,2,27.7882,-82.6727,"{ lat: 27.7882, lng: -82.6727, count: 2 }"
256,2,39.7911,-86.1166,"{ lat: 39.7911, lng: -86.1166, count: 2 }"
257,2,35.791,-86.3495,"{ lat: 35.791, lng: -86.3495, count: 2 }"
258,2,39.9966,-111.84299999999999,"{ lat: 39.9966, lng: -111.84299999999999, count: 2 }"
259,2,38.8706,-76.9805,"{ lat: 38.8706, lng: -76.9805, count: 2 }"
260,2,32.3039,-90.2257,"{ lat: 32.3039, lng: -90.2257, count: 2 }"
261,2,34.0398,-84.0165,"{ lat: 34.0398, lng: -84.0165, count: 2 }"
262,2,39.2824,-76.6406,"{ lat: 39.2824, lng: -76.6406, count: 2 }"
263,2,39.5572,-104.98,"{ lat: 39.5572, lng: -104.98, count: 2 }"
264,2,41.8781,-87.6298,"{ lat: 41.8781, lng: -87.6298, count: 2 }"
265,2,26.2309,-98.2704,"{ lat: 26.2309, lng: -98.2704, count: 2 }"
266,2,30.4008,-97.7489,"{ lat: 30.4008, lng: -97.7489, count: 2 }"
267,2,29.9504,-93.8964,"{ lat: 29.9504, lng: -93.8964, count: 2 }"
