Per Capita Personal Income by County (Dollars),,,,,,
Series ID,Region Name,Region Code,2014,2015,2016,2017
PCPI21029,"Bullitt County, KY",21029,34759,36920,38313,39440
PCPI13031,"Bulloch County, GA",13031,28195,29664,29951,30522
PCPI01011,"Bullock County, AL",01011,25052,26222,26450,27500
PCPI37021,"Buncombe County, NC",37021,40558,43154,44434,46102
PCPI17011,"Bureau County, IL",17011,39270,39416,40522,41781
PCPI13033,"Burke County, GA",13033,31204,33218,33639,34330
PCPI38013,"Burke County, ND",38013,86945,71006,61010,63237
PCPI37023,"Burke County, NC",37023,30524,31983,32737,34304
PCPI38015,"Burleigh County, ND",38015,57333,57180,56983,57452
PCPI48051,"Burleson County, TX",48051,40597,40830,40002,40482
PCPI34005,"Burlington County, NJ",34005,53489,56020,57469,59659
PCPI48053,"Burnet County, TX",48053,42901,44043,44398,45350
PCPI55013,"Burnett County, WI",55013,37374,39350,39500,40774
PCPI31021,"Burt County, NE",31021,47956,51410,48594,49697
PCPI19023,"Butler County, IA",19023,44103,44480,45902,46419
PCPI01013,"Butler County, AL",01013,32832,33700,33888,35196
PCPI31023,"Butler County, NE",31023,45791,48761,44462,46107
PCPI39017,"Butler County, OH",39017,40764,42389,43423,44900
PCPI42019,"Butler County, PA",42019,50129,52659,53578,55534
PCPI20015,"Butler County, KS",20015,41788,42771,43214,43964
PCPI29023,"Butler County, MO",29023,33776,33285,33923,34789
PCPI21031,"Butler County, KY",21031,31069,31985,32045,33562
PCPI06007,"Butte County, CA",06007,37976,40709,41931,43287
PCPI16023,"Butte County, ID",16023,33886,37915,38068,37885
PCPI46019,"Butte County, SD",46019,34482,35298,35026,36251
PCPI13035,"Butts County, GA",13035,28848,30583,31186,32199
PCPI37025,"Cabarrus County, NC",37025,39159,41201,42514,43920
PCPI54011,"Cabell County, WV",54011,37604,38473,38597,39335
PCPI49005,"Cache County, UT",49005,32562,34422,35468,36847
PCPI40015,"Caddo County, OK",40015,33656,32916,30712,33886
PCPI22017,"Caddo Parish, LA",22017,48018,46698,44553,44565
PCPI06009,"Calaveras County, CA",06009,41332,44116,45558,47384
PCPI22019,"Calcasieu Parish, LA",22019,41128,43686,44578,46491
PCPI22021,"Caldwell Parish, LA",22021,31146,31487,31690,32861
PCPI48055,"Caldwell County, TX",48055,30129,31416,31849,32889
PCPI21033,"Caldwell County, KY",21033,31632,32214,33305,33824
PCPI29025,"Caldwell County, MO",29025,32896,32572,33789,35121
PCPI37027,"Caldwell County, NC",37027,30003,31714,32232,33815
PCPI50005,"Caledonia County, VT",50005,37337,38086,38964,39977
PCPI13037,"Calhoun County, GA",13037,21552,22171,23143,24527
PCPI28013,"Calhoun County, MS",28013,28027,29350,30719,31576
PCPI01015,"Calhoun County, AL",01015,33087,34188,34869,36255
PCPI17013,"Calhoun County, IL",17013,35840,36513,37748,39253
PCPI19025,"Calhoun County, IA",19025,48106,45966,46645,44667
PCPI54013,"Calhoun County, WV",54013,29672,27743,26942,28392
PCPI12013,"Calhoun County, FL",12013,24149,24827,25229,26108
PCPI05013,"Calhoun County, AR",05013,29556,30895,32195,32907
PCPI45017,"Calhoun County, SC",45017,32607,33987,35257,36787
PCPI48057,"Calhoun County, TX",48057,36853,37011,35824,36587
PCPI26025,"Calhoun County, MI",26025,35304,37145,37947,38683
PCPI48059,"Callahan County, TX",48059,37774,37902,37115,38029
PCPI29027,"Callaway County, MO",29027,34215,34877,35135,36418
PCPI21035,"Calloway County, KY",21035,32853,33465,33073,34273
PCPI55015,"Calumet County, WI",55015,44428,45289,46765,47920
PCPI24009,"Calvert County, MD",24009,54341,56708,58176,60080
PCPI16025,"Camas County, ID",16025,41307,41921,36171,37216
PCPI42021,"Cambria County, PA",42021,37848,39273,39818,40985
PCPI37029,"Camden County, NC",37029,40666,42332,43042,44290
PCPI34007,"Camden County, NJ",34007,46665,48639,49836,51878
PCPI29029,"Camden County, MO",29029,32831,34308,34558,35598
PCPI13039,"Camden County, GA",13039,31764,32621,33674,34854
PCPI42023,"Cameron County, PA",42023,44510,44295,44504,45774
PCPI22023,"Cameron Parish, LA",22023,45212,42910,43224,45278
PCPI48061,"Cameron County, TX",48061,25954,26807,27406,27741
PCPI48063,"Camp County, TX",48063,37975,39518,37477,38491
PCPI21037,"Campbell County, KY",21037,42168,43566,44510,46127
PCPI46021,"Campbell County, SD",46021,48199,46078,46337,45381
PCPI47013,"Campbell County, TN",47013,29992,31746,32133,33042
PCPI56005,"Campbell County, WY",56005,56627,52928,47154,48842
PCPI40017,"Canadian County, OK",40017,43650,43031,42161,42657
